Name|Team|Position|Height|Weight|Age|Address1|Address2
Chad Bradford|BAL|Relief Pitcher|77|203|32.46|333 West Camden Street|Baltimore, MD 21201
Jamie Walker|BAL|Relief Pitcher|74|195|35.67|333 West Camden Street|Baltimore, MD 21201
Brian Burres|BAL|Relief Pitcher|73|182|25.89|333 West Camden Street|Baltimore, MD 21201
Kurt Birkins|BAL|Relief Pitcher|74|188|26.55|333 West Camden Street|Baltimore, MD 21201
James Hoey|BAL|Relief Pitcher|78|200|24.17|333 West Camden Street|Baltimore, MD 21201
Sendy Rleal|BAL|Relief Pitcher|73|180|26.69|333 West Camden Street|Baltimore, MD 21201
Chris Ray|BAL|Relief Pitcher|75|200|25.13|333 West Camden Street|Baltimore, MD 21201
Jeremy Guthrie|BAL|Relief Pitcher|73|200|27.9|333 West Camden Street|Baltimore, MD 21201
A.J. Pierzynski|CWS|Catcher|75|245|30.17|333 West 35th Street|Chicago, IL 60616
Toby Hall|CWS|Catcher|75|240|31.36|333 West 35th Street|Chicago, IL 60616
Paul Konerko|CWS|First Baseman|74|215|30.99|333 West 35th Street|Chicago, IL 60616
Tadahito Iguchi|CWS|Second Baseman|69|185|32.24|333 West 35th Street|Chicago, IL 60616
Juan Uribe|CWS|Shortstop|71|175|27.61|333 West 35th Street|Chicago, IL 60616
Alex Cintron|CWS|Shortstop|74|199|28.2|333 West 35th Street|Chicago, IL 60616
Joe Crede|CWS|Third Baseman|73|200|28.85|333 West 35th Street|Chicago, IL 60616
Josh Fields|CWS|Third Baseman|73|215|24.21|333 West 35th Street|Chicago, IL 60616
Ryan Sweeney|CWS|Outfielder|76|200|22.02|333 West 35th Street|Chicago, IL 60616
Brian N. Anderson|CWS|Outfielder|74|205|24.97|333 West 35th Street|Chicago, IL 60616
Luis Terrero|CWS|Outfielder|74|206|26.78|333 West 35th Street|Chicago, IL 60616
Pablo Ozuna|CWS|Outfielder|70|186|32.51|333 West 35th Street|Chicago, IL 60616
Scott Podsednik|CWS|Outfielder|72|188|30.95|333 West 35th Street|Chicago, IL 60616
Jermaine Dye|CWS|Outfielder|77|220|33.09|333 West 35th Street|Chicago, IL 60616
Darin Erstad|CWS|Outfielder|74|210|32.74|333 West 35th Street|Chicago, IL 60616
Rob Mackowiak|CWS|Outfielder|70|195|30.69|333 West 35th Street|Chicago, IL 60616
Jim Thome|CWS|Designated Hitter|76|244|36.51|333 West 35th Street|Chicago, IL 60616
Jerry Owens|CWS|Designated Hitter|75|195|26.03|333 West 35th Street|Chicago, IL 60616
Charlie Haeger|CWS|Starting Pitcher|73|200|23.45|333 West 35th Street|Chicago, IL 60616
Heath Phillips|CWS|Starting Pitcher|75|200|24.94|333 West 35th Street|Chicago, IL 60616
Gavin Floyd|CWS|Starting Pitcher|76|212|24.09|333 West 35th Street|Chicago, IL 60616
Jose Contreras|CWS|Starting Pitcher|76|224|35.23|333 West 35th Street|Chicago, IL 60616
Jon Garland|CWS|Starting Pitcher|78|210|27.43|333 West 35th Street|Chicago, IL 60616
Javier Vazquez|CWS|Starting Pitcher|74|205|30.6|333 West 35th Street|Chicago, IL 60616
Mark Buehrle|CWS|Starting Pitcher|74|220|27.94|333 West 35th Street|Chicago, IL 60616
Mike MacDougal|CWS|Relief Pitcher|76|195|29.99|333 West 35th Street|Chicago, IL 60616
David Aardsma|CWS|Relief Pitcher|77|200|25.17|333 West 35th Street|Chicago, IL 60616
Andrew Sisco|CWS|Relief Pitcher|81|260|24.13|333 West 35th Street|Chicago, IL 60616
Matt Thornton|CWS|Relief Pitcher|78|228|30.46|333 West 35th Street|Chicago, IL 60616
Bobby Jenks|CWS|Relief Pitcher|75|270|25.96|333 West 35th Street|Chicago, IL 60616
Boone Logan|CWS|Relief Pitcher|77|200|22.55|333 West 35th Street|Chicago, IL 60616
Sean Tracey|CWS|Relief Pitcher|75|210|26.29|333 West 35th Street|Chicago, IL 60616
Nick Masset|CWS|Relief Pitcher|76|190|24.79|333 West 35th Street|Chicago, IL 60616
Jose Molina|ANA|Catcher|74|220|31.74||
Jeff Mathis|ANA|Catcher|72|180|23.92||
Mike Napoli|ANA|Catcher|72|205|25.33||
Casey Kotchman|ANA|First Baseman|75|210|24.02||
Kendry Morales|ANA|First Baseman|73|220|23.7||
Shea Hillenbrand|ANA|First Baseman|73|211|31.59||
Robb Quinlan|ANA|First Baseman|73|200|29.95||
Howie Kendrick|ANA|First Baseman|70|180|23.64||
Orlando Cabrera|ANA|Shortstop|70|190|32.33||
Erick Aybar|ANA|Shortstop|70|170|23.13||
Dallas McPherson|ANA|Third Baseman|76|230|26.6||
Maicer Izturis|ANA|Third Baseman|68|155|26.46||
Reggie Willits|ANA|Outfielder|71|185|25.75||
Tommy Murphy|ANA|Outfielder|72|185|27.51||
Terry Evans|ANA|Outfielder|75|200|25.11||
Gary Matthews Jr.|ANA|Outfielder|75|225|32.51||
Garret Anderson|ANA|Outfielder|75|225|34.67||
Vladimir Guerrero|ANA|Outfielder|75|220|31.06||
Chone Figgins|ANA|Outfielder|68|160|29.1||
Juan Rivera|ANA|Outfielder|74|205|28.66||
John Lackey|ANA|Starting Pitcher|78|235|28.35||
Bartolo Colon|ANA|Starting Pitcher|71|250|33.77||
Kelvim Escobar|ANA|Starting Pitcher|73|210|30.89||
Dustin Moseley|ANA|Starting Pitcher|76|190|37.74||
Ervin Santana|ANA|Starting Pitcher|74|160|24.14||
Joe Saunders|ANA|Starting Pitcher|74|200|25.71||
Jered Weaver|ANA|Starting Pitcher|79|205|24.41||
Chris Resop|ANA|Relief Pitcher|75|222|24.32||
Phil Seibel|ANA|Relief Pitcher|73|195|28.09||
Justin Speier|ANA|Relief Pitcher|76|205|33.31||
Darren Oliver|ANA|Relief Pitcher|74|220|36.4||
Hector Carrasco|ANA|Relief Pitcher|74|220|37.36||
Scot Shields|ANA|Relief Pitcher|73|170|31.61||
Francisco Rodriguez|ANA|Relief Pitcher|72|185|25.14||
Greg Jones|ANA|Relief Pitcher|74|195|30.29||
Doug Mirabelli|BOS|Catcher|73|220|36.37||
Jason Varitek|BOS|Catcher|74|230|34.89||
George Kottaras|BOS|Catcher|72|180|23.79||
Kevin Youkilis|BOS|First Baseman|73|220|27.96||
Dustin Pedroia|BOS|Second Baseman|69|180|23.54||
Alex Cora|BOS|Shortstop|72|180|31.37||
Julio Lugo|BOS|Shortstop|73|170|31.29||
Mike Lowell|BOS|Third Baseman|75|210|33.01||
Wily Mo Pe?a|BOS|Outfielder|75|215|25.1||
J.D. Drew|BOS|Outfielder|73|200|31.28||
Manny Ramirez|BOS|Outfielder|72|213|34.75||
Brandon Moss|BOS|Outfielder|72|180|23.46||
David Murphy|BOS|Outfielder|76|192|25.37||
Eric Hinske|BOS|Outfielder|74|235|29.57||
Coco Crisp|BOS|Outfielder|72|185|27.33||
David Ortiz|BOS|Designated Hitter|76|230|31.28||
Curt Schilling|BOS|Starting Pitcher|77|235|40.29||
Tim Wakefield|BOS|Starting Pitcher|74|210|40.58||
Josh Beckett|BOS|Starting Pitcher|77|222|26.79||
Matt Clement|BOS|Starting Pitcher|75|210|32.55||
Jonathan Papelbon|BOS|Starting Pitcher|76|230|26.27||
Kyle Snyder|BOS|Starting Pitcher|80|220|29.47||
Devern Hansack|BOS|Starting Pitcher|74|180|29.07||
Jon Lester|BOS|Starting Pitcher|74|190|23.15||
Kason Gabbard|BOS|Starting Pitcher|75|200|24.9||
Craig Hansen|BOS|Relief Pitcher|78|210|23.29||
Hideki Okajima|BOS|Relief Pitcher|73|194|31.18||
Craig Breslow|BOS|Relief Pitcher|73|180|26.56||
Manny Delcarmen|BOS|Relief Pitcher|74|190|25.03||
Brendan Donnelly|BOS|Relief Pitcher|75|240|35.66||
Javier Lopez|BOS|Relief Pitcher|76|200|29.64||
J.C. Romero|BOS|Relief Pitcher|71|198|30.74||
Joel Pineiro|BOS|Relief Pitcher|73|200|28.43||
Julian Tavarez|BOS|Relief Pitcher|74|195|33.77||
Mike Timlin|BOS|Relief Pitcher|76|210|40.97||
Nick DeBarr|BOS|Relief Pitcher|76|220|23.52||
Victor Martinez|CLE|Catcher|74|190|28.19|2401 Ontario Street|Cleveland, OH 44115
Kelly Shoppach|CLE|Catcher|73|210|26.84|2401 Ontario Street|Cleveland, OH 44115
Ryan Garko|CLE|First Baseman|74|225|26.16|2401 Ontario Street|Cleveland, OH 44115
Joe Inglett|CLE|Second Baseman|70|180|28.67|2401 Ontario Street|Cleveland, OH 44115
Josh Barfield|CLE|Second Baseman|72|185|24.2|2401 Ontario Street|Cleveland, OH 44115
Hector Luna|CLE|Second Baseman|73|170|27.08|2401 Ontario Street|Cleveland, OH 44115
Jhonny Peralta|CLE|Shortstop|73|185|24.76|2401 Ontario Street|Cleveland, OH 44115
Andy Marte|CLE|Third Baseman|73|185|23.36|2401 Ontario Street|Cleveland, OH 44115
Ben Francisco|CLE|Outfielder|73|180|25.35|2401 Ontario Street|Cleveland, OH 44115
Shin-Soo Choo|CLE|Outfielder|71|178|24.63|2401 Ontario Street|Cleveland, OH 44115
Franklin Gutierrez|CLE|Outfielder|74|175|24.02|2401 Ontario Street|Cleveland, OH 44115
Grady Sizemore|CLE|Outfielder|74|200|24.58|2401 Ontario Street|Cleveland, OH 44115
Jason Michaels|CLE|Outfielder|72|204|30.82|2401 Ontario Street|Cleveland, OH 44115
Trot Nixon|CLE|Outfielder|74|211|32.89|2401 Ontario Street|Cleveland, OH 44115
David Dellucci|CLE|Outfielder|71|190|33.33|2401 Ontario Street|Cleveland, OH 44115
Casey Blake|CLE|Outfielder|74|210|33.52|2401 Ontario Street|Cleveland, OH 44115
Travis Hafner|CLE|Designated Hitter|75|240|29.74|2401 Ontario Street|Cleveland, OH 44115
Paul Byrd|CLE|Starting Pitcher|73|190|36.24|2401 Ontario Street|Cleveland, OH 44115
Cliff Lee|CLE|Starting Pitcher|75|190|28.5|2401 Ontario Street|Cleveland, OH 44115
Jake Westbrook|CLE|Starting Pitcher|75|185|29.42|2401 Ontario Street|Cleveland, OH 44115
C.C. Sabathia|CLE|Starting Pitcher|79|290|26.61|2401 Ontario Street|Cleveland, OH 44115
Jeremy Sowers|CLE|Starting Pitcher|73|175|23.79|2401 Ontario Street|Cleveland, OH 44115
Rafael Perez|CLE|Relief Pitcher|75|185|24.96|2401 Ontario Street|Cleveland, OH 44115
Brian Slocum|CLE|Relief Pitcher|76|200|25.93|2401 Ontario Street|Cleveland, OH 44115
Edward Mujica|CLE|Relief Pitcher|74|220|22.81|2401 Ontario Street|Cleveland, OH 44115
Fernando Cabrera|CLE|Relief Pitcher|76|170|25.29|2401 Ontario Street|Cleveland, OH 44115
Tom Mastny|CLE|Relief Pitcher|78|220|26.07|2401 Ontario Street|Cleveland, OH 44115
Juan Lara|CLE|Relief Pitcher|74|190|26.09|2401 Ontario Street|Cleveland, OH 44115
Fausto Carmona|CLE|Relief Pitcher|76|220|23.23|2401 Ontario Street|Cleveland, OH 44115
Aaron Fultz|CLE|Relief Pitcher|72|205|33.49|2401 Ontario Street|Cleveland, OH 44115
Rafael Betancourt|CLE|Relief Pitcher|74|200|31.84|2401 Ontario Street|Cleveland, OH 44115
Roberto Hernandez|CLE|Relief Pitcher|76|250|42.3|2401 Ontario Street|Cleveland, OH 44115
Joe Borowski|CLE|Relief Pitcher|74|225|35.82|2401 Ontario Street|Cleveland, OH 44115
Matt Miller|CLE|Relief Pitcher|75|215|35.27|2401 Ontario Street|Cleveland, OH 44115
Jason Davis|CLE|Relief Pitcher|78|210|26.81|2401 Ontario Street|Cleveland, OH 44115
Mike Piazza|OAK|Catcher|75|215|38.49|7000 Coliseum Way|Oakland, CA 94621
Jason Kendall|OAK|Catcher|72|195|32.68|7000 Coliseum Way|Oakland, CA 94621
Adam Melhuse|OAK|Catcher|74|200|34.93|7000 Coliseum Way|Oakland, CA 94621
Nick Swisher|OAK|First Baseman|72|194|26.26|7000 Coliseum Way|Oakland, CA 94621
Dan Johnson|OAK|First Baseman|74|220|27.56|7000 Coliseum Way|Oakland, CA 94621
Donald Murphy|OAK|Second Baseman|70|180|23.98|7000 Coliseum Way|Oakland, CA 94621
Mark Ellis|OAK|Second Baseman|71|180|29.73|7000 Coliseum Way|Oakland, CA 94621
Marco Scutaro|OAK|Shortstop|70|170|31.33|7000 Coliseum Way|Oakland, CA 94621
Bobby Crosby|OAK|Shortstop|75|195|27.13|7000 Coliseum Way|Oakland, CA 94621
Mark Kiger|OAK|Shortstop|71|180|26.75|7000 Coliseum Way|Oakland, CA 94621
Antonio Perez|OAK|Third Baseman|71|170|27.09|7000 Coliseum Way|Oakland, CA 94621
Eric Chavez|OAK|Third Baseman|73|206|29.23|7000 Coliseum Way|Oakland, CA 94621
Milton Bradley|OAK|Outfielder|72|205|28.88|7000 Coliseum Way|Oakland, CA 94621
Shannon Stewart|OAK|Outfielder|71|200|33.01|7000 Coliseum Way|Oakland, CA 94621
Bobby Kielty|OAK|Outfielder|73|225|30.57|7000 Coliseum Way|Oakland, CA 94621
Mark Kotsay|OAK|Outfielder|72|201|31.24|7000 Coliseum Way|Oakland, CA 94621
Ryan Goleski|OAK|Outfielder|75|225|24.95|7000 Coliseum Way|Oakland, CA 94621
Jeremy Brown|OAK|Designated Hitter|70|226|27.35|7000 Coliseum Way|Oakland, CA 94621
Jason Windsor|OAK|Starting Pitcher|74|233|24.62|7000 Coliseum Way|Oakland, CA 94621
David Shafer|OAK|Starting Pitcher|74|180|24.98|7000 Coliseum Way|Oakland, CA 94621
Joe Blanton|OAK|Starting Pitcher|75|225|26.22|7000 Coliseum Way|Oakland, CA 94621
Brad Halsey|OAK|Starting Pitcher|73|180|26.04|7000 Coliseum Way|Oakland, CA 94621
Dan Haren|OAK|Starting Pitcher|77|220|26.45|7000 Coliseum Way|Oakland, CA 94621
Rich Harden|OAK|Starting Pitcher|73|180|25.25|7000 Coliseum Way|Oakland, CA 94621
Joe Kennedy|OAK|Starting Pitcher|76|237|27.77|7000 Coliseum Way|Oakland, CA 94621
Esteban Loaiza|OAK|Starting Pitcher|75|215|35.16|7000 Coliseum Way|Oakland, CA 94621
Alan Embree|OAK|Relief Pitcher|74|190|37.1|7000 Coliseum Way|Oakland, CA 94621
Jay Witasick|OAK|Relief Pitcher|76|235|34.51|7000 Coliseum Way|Oakland, CA 94621
Justin Duchscherer|OAK|Relief Pitcher|75|190|29.28|7000 Coliseum Way|Oakland, CA 94621
Kiko Calero|OAK|Relief Pitcher|73|180|32.14|7000 Coliseum Way|Oakland, CA 94621
Chad Gaudin|OAK|Relief Pitcher|71|165|23.94|7000 Coliseum Way|Oakland, CA 94621
Lenny DiNardo|OAK|Relief Pitcher|76|195|27.45|7000 Coliseum Way|Oakland, CA 94621
Scott Dunn|OAK|Relief Pitcher|75|200|28.77|7000 Coliseum Way|Oakland, CA 94621
Huston Street|OAK|Relief Pitcher|72|190|23.58|7000 Coliseum Way|Oakland, CA 94621
Ron Flores|OAK|Relief Pitcher|71|190|27.56|7000 Coliseum Way|Oakland, CA 94621
Jay Marshall|OAK|Relief Pitcher|77|185|24.01|7000 Coliseum Way|Oakland, CA 94621
Marcus McBeth|OAK|Relief Pitcher|73|185|26.52|7000 Coliseum Way|Oakland, CA 94621
Jorge Posada|NYY|Catcher|74|205|35.54|One East 161st Street|Bronx, NY 10451
Wil Nieves|NYY|Catcher|71|190|29.43|One East 161st Street|Bronx, NY 10451
Andy Phillips|NYY|First Baseman|72|205|29.9|One East 161st Street|Bronx, NY 10451
Doug Mientkiewicz|NYY|First Baseman|74|206|32.7|One East 161st Street|Bronx, NY 10451
Josh Phelps|NYY|First Baseman|75|220|28.8|One East 161st Street|Bronx, NY 10451
Miguel Cairo|NYY|Second Baseman|73|208|32.82|One East 161st Street|Bronx, NY 10451
Robinson Cano|NYY|Second Baseman|72|170|24.36|One East 161st Street|Bronx, NY 10451
Derek Jeter|NYY|Shortstop|75|195|32.68|One East 161st Street|Bronx, NY 10451
Alex Rodriguez|NYY|Third Baseman|75|210|31.59|One East 161st Street|Bronx, NY 10451
Johnny Damon|NYY|Outfielder|74|190|33.32|One East 161st Street|Bronx, NY 10451
Bobby Abreu|NYY|Outfielder|72|211|32.97|One East 161st Street|Bronx, NY 10451
Hideki Matsui|NYY|Outfielder|74|230|32.72|One East 161st Street|Bronx, NY 10451
Melky Cabrera|NYY|Outfielder|71|170|22.55|One East 161st Street|Bronx, NY 10451
Kevin Thompson|NYY|Outfielder|70|185|27.45|One East 161st Street|Bronx, NY 10451
Jason Giambi|NYY|Designated Hitter|75|230|36.14|One East 161st Street|Bronx, NY 10451
Mike Mussina|NYY|Starting Pitcher|74|185|38.23|One East 161st Street|Bronx, NY 10451
Carl Pavano|NYY|Starting Pitcher|77|241|31.14|One East 161st Street|Bronx, NY 10451
Andy Pettitte|NYY|Starting Pitcher|77|225|34.71|One East 161st Street|Bronx, NY 10451
Darrell Rasner|NYY|Starting Pitcher|75|210|26.13|One East 161st Street|Bronx, NY 10451
Jeff Karstens|NYY|Starting Pitcher|75|175|24.43|One East 161st Street|Bronx, NY 10451
Humberto Sanchez|NYY|Starting Pitcher|78|230|23.76|One East 161st Street|Bronx, NY 10451
Chien-Ming Wang|NYY|Starting Pitcher|75|200|26.92|One East 161st Street|Bronx, NY 10451
Sean Henn|NYY|Relief Pitcher|76|215|25.85|One East 161st Street|Bronx, NY 10451
Scott Proctor|NYY|Relief Pitcher|73|198|30.16|One East 161st Street|Bronx, NY 10451
Brian Bruney|NYY|Relief Pitcher|75|226|25.03|One East 161st Street|Bronx, NY 10451
Chris Britton|NYY|Relief Pitcher|75|278|24.21|One East 161st Street|Bronx, NY 10451
T.J. Beam|NYY|Relief Pitcher|79|215|26.51|One East 161st Street|Bronx, NY 10451
Jose Veras|NYY|Relief Pitcher|77|230|26.36|One East 161st Street|Bronx, NY 10451
Kyle Farnsworth|NYY|Relief Pitcher|76|240|30.88|One East 161st Street|Bronx, NY 10451
Luis Vizcaino|NYY|Relief Pitcher|71|184|32.57|One East 161st Street|Bronx, NY 10451
Mike Myers|NYY|Relief Pitcher|75|219|37.68|One East 161st Street|Bronx, NY 10451
Mariano Rivera|NYY|Relief Pitcher|74|170|37.25|One East 161st Street|Bronx, NY 10451
Ivan Rodriguez|DET|Catcher|69|218|35.25|2100 Woodward Avenue|Detroit, MI 48201
Vance Wilson|DET|Catcher|71|190|33.95|2100 Woodward Avenue|Detroit, MI 48201
Sean Casey|DET|First Baseman|76|225|32.66|2100 Woodward Avenue|Detroit, MI 48201
Chris Shelton|DET|First Baseman|72|220|26.68|2100 Woodward Avenue|Detroit, MI 48201
Omar Infante|DET|Second Baseman|72|176|25.18|2100 Woodward Avenue|Detroit, MI 48201
Placido Polanco|DET|Second Baseman|70|190|31.39|2100 Woodward Avenue|Detroit, MI 48201
Neifi Perez|DET|Second Baseman|72|197|33.74|2100 Woodward Avenue|Detroit, MI 48201
Carlos Guillen|DET|Shortstop|73|204|31.42|2100 Woodward Avenue|Detroit, MI 48201
Ramon Santiago|DET|Shortstop|71|167|27.5|2100 Woodward Avenue|Detroit, MI 48201
Tony Giarratano|DET|Shortstop|72|180|24.25|2100 Woodward Avenue|Detroit, MI 48201
Brandon Inge|DET|Third Baseman|71|195|29.78|2100 Woodward Avenue|Detroit, MI 48201
Craig Monroe|DET|Outfielder|73|220|30.0|2100 Woodward Avenue|Detroit, MI 48201
Magglio Ordo?ez|DET|Outfielder|72|215|33.09|2100 Woodward Avenue|Detroit, MI 48201
Curtis Granderson|DET|Outfielder|73|185|25.96|2100 Woodward Avenue|Detroit, MI 48201
Brent Clevlen|DET|Outfielder|74|190|23.34|2100 Woodward Avenue|Detroit, MI 48201
Marcus Thames|DET|Outfielder|74|205|29.98|2100 Woodward Avenue|Detroit, MI 48201
Gary Sheffield|DET|Outfielder|72|205|38.28|2100 Woodward Avenue|Detroit, MI 48201
Mike Rabelo|DET|Designated Hitter|73|200|27.12|2100 Woodward Avenue|Detroit, MI 48201
Zach Miner|DET|Starting Pitcher|75|200|24.97|2100 Woodward Avenue|Detroit, MI 48201
Jeremy Bonderman|DET|Starting Pitcher|74|210|24.34|2100 Woodward Avenue|Detroit, MI 48201
Nate Robertson|DET|Starting Pitcher|74|215|29.49|2100 Woodward Avenue|Detroit, MI 48201
Justin Verlander|DET|Starting Pitcher|77|200|24.02|2100 Woodward Avenue|Detroit, MI 48201
Virgil Vasquez|DET|Starting Pitcher|75|205|24.73|2100 Woodward Avenue|Detroit, MI 48201
Kenny Rogers|DET|Starting Pitcher|73|211|42.3|2100 Woodward Avenue|Detroit, MI 48201
Mike Maroth|DET|Starting Pitcher|72|190|29.54|2100 Woodward Avenue|Detroit, MI 48201
Fernando Rodney|DET|Relief Pitcher|71|208|29.95|2100 Woodward Avenue|Detroit, MI 48201
Chad Durbin|DET|Relief Pitcher|74|200|29.24|2100 Woodward Avenue|Detroit, MI 48201
Jason Grilli|DET|Relief Pitcher|77|210|30.3|2100 Woodward Avenue|Detroit, MI 48201
Jose Mesa|DET|Relief Pitcher|75|232|40.77|2100 Woodward Avenue|Detroit, MI 48201
Todd Jones|DET|Relief Pitcher|75|230|38.85|2100 Woodward Avenue|Detroit, MI 48201
Joel Zumaya|DET|Relief Pitcher|75|210|22.31|2100 Woodward Avenue|Detroit, MI 48201
Jordan Tata|DET|Relief Pitcher|78|220|25.44|2100 Woodward Avenue|Detroit, MI 48201
Andrew Miller|DET|Relief Pitcher|78|210|21.78|2100 Woodward Avenue|Detroit, MI 48201
Yorman Bazardo|DET|Relief Pitcher|74|202|22.64|2100 Woodward Avenue|Detroit, MI 48201
Wilfredo Ledezma|DET|Relief Pitcher|76|212|26.11|2100 Woodward Avenue|Detroit, MI 48201
Roman Colon|DET|Relief Pitcher|78|225|27.55|2100 Woodward Avenue|Detroit, MI 48201
Edward Campusano|DET|Relief Pitcher|76|170|24.63|2100 Woodward Avenue|Detroit, MI 48201
Rene Rivera|SEA|Catcher|70|190|23.58|P.O. Box 4100|Seattle, WA 98104
Kenji Johjima|SEA|Catcher|72|200|30.73|P.O. Box 4100|Seattle, WA 98104
Richie Sexson|SEA|First Baseman|80|237|32.17|P.O. Box 4100|Seattle, WA 98104
Ben Broussard|SEA|First Baseman|74|220|30.43|P.O. Box 4100|Seattle, WA 98104
Jose Lopez|SEA|Second Baseman|74|170|23.27|P.O. Box 4100|Seattle, WA 98104
Jose Vidro|SEA|Second Baseman|71|193|32.51|P.O. Box 4100|Seattle, WA 98104
Yuniesky Betancourt|SEA|Shortstop|70|190|25.08|P.O. Box 4100|Seattle, WA 98104
Oswaldo Navarro|SEA|Shortstop|72|150|22.41|P.O. Box 4100|Seattle, WA 98104
Adrian Beltre|SEA|Third Baseman|71|220|27.9|P.O. Box 4100|Seattle, WA 98104
Raul Ibanez|SEA|Outfielder|74|200|34.74|P.O. Box 4100|Seattle, WA 98104
Jose Guillen|SEA|Outfielder|71|190|30.79|P.O. Box 4100|Seattle, WA 98104
Jeremy Reed|SEA|Outfielder|72|185|25.71|P.O. Box 4100|Seattle, WA 98104
Willie Bloomquist|SEA|Outfielder|71|185|29.26|P.O. Box 4100|Seattle, WA 98104
Adam Jones|SEA|Outfielder|74|200|21.58|P.O. Box 4100|Seattle, WA 98104
Ichiro Suzuki|SEA|Outfielder|69|172|33.36|P.O. Box 4100|Seattle, WA 98104
Mike Morse|SEA|Outfielder|76|220|24.94|P.O. Box 4100|Seattle, WA 98104
Felix Hernandez|SEA|Starting Pitcher|75|225|20.9|P.O. Box 4100|Seattle, WA 98104
Ryan Feierabend|SEA|Starting Pitcher|75|190|21.52|P.O. Box 4100|Seattle, WA 98104
Sean White|SEA|Starting Pitcher|76|195|25.85|P.O. Box 4100|Seattle, WA 98104
Horacio Ramirez|SEA|Starting Pitcher|73|219|27.27|P.O. Box 4100|Seattle, WA 98104
Cha Baek|SEA|Starting Pitcher|76|190|26.75|P.O. Box 4100|Seattle, WA 98104
Miguel Batista|SEA|Starting Pitcher|73|197|36.03|P.O. Box 4100|Seattle, WA 98104
Jeff Weaver|SEA|Starting Pitcher|77|200|30.52|P.O. Box 4100|Seattle, WA 98104
Jarrod Washburn|SEA|Starting Pitcher|73|195|32.55|P.O. Box 4100|Seattle, WA 98104
George Sherrill|SEA|Relief Pitcher|72|210|29.86|P.O. Box 4100|Seattle, WA 98104
Julio Mateo|SEA|Relief Pitcher|72|177|29.58|P.O. Box 4100|Seattle, WA 98104
J.J. Putz|SEA|Relief Pitcher|77|220|30.02|P.O. Box 4100|Seattle, WA 98104
Chris Reitsma|SEA|Relief Pitcher|77|235|29.16|P.O. Box 4100|Seattle, WA 98104
Cesar Jimenez|SEA|Relief Pitcher|71|180|22.3|P.O. Box 4100|Seattle, WA 98104
Eric O'Flaherty|SEA|Relief Pitcher|74|195|22.06|P.O. Box 4100|Seattle, WA 98104
Jon Huber|SEA|Relief Pitcher|74|195|25.65|P.O. Box 4100|Seattle, WA 98104
Jake Woods|SEA|Relief Pitcher|73|190|25.49|P.O. Box 4100|Seattle, WA 98104
